a	IN
sabelotodo	NN
saber	VB
sabiduría	NN
sabueso	NN
sacapuntas	NN
sacar	VB
sacerdote	NN
sacrificar	VB
sacrificio	NN
sacudir	VB
safari	NN
sagitario	NN
sal	NN
sala	NN
salario	NN
salida	NN
salir	VB
salitre	NN
salmón	NN
salpicadura	NN
salsa	NN
saltamontes	NN
saltar	VB
saltear	VB
saltito	NN
salto	NN
saltos	NNS
salud	NN
saludar	VB
salvación	NN
salvar	VB
salvavidas	NN
samario	NN
samba	NN
samurái	NN
sanar	VB
sanción	NN
sandalia	NN
sandía	NN
sandwich	NN
sangrar	VB
sangre	NN
santa	NN
santificación	NN
santificar	VB
santo	NN
santuario	NN
sapo	NN
saquear	VB
saqueo	NN
sarampión	NN
sarcasmo	NN
sardina	NN
sarpullido	NN
sartén	NN
sastre	NN
satélite	NN
satín	NN
satirizar	VB
satisfacer	VB
Saturno	NNP
saxofón	NN
saxofonista	NN
se	PRP
secadora	NN
secar	VB
sección	NN
secretar	VB
secretaria	NN
secretario	NN
secreto	NN
secta	NN
secuestrar	VB
secuestro	NN
seda	NN
sedante	NN
sede	NN
segregación	NN
seguidor	NN
seguidora	NN
seguir	VB
según	CC
segundo	NN
seguramente	RB
seguridad	NN
seguro	NN
seleccionar	VB
selenio	NN
sellar	VB
sello	NN
selva	NN
semáforo	NN
semana	NN
sembrar	VB
semestre	NN
semiesfera	NN
seminario	NN
Senado	NNP
senador	NN
senadora	NN
señalador	NN
señalar	VB
sencillez	NN
senda	NN
sendero	NN
señor	NN
sensor	NN
sentarse	VB
sentencia	NN
sentimiento	NN
sentirse	VB
señuelo	NN
separar	VB
separarse	VB
septiembre	NN
sepultar	VB
sequía	NN
ser	VB
serie	NN
serpentear	VB
serpentina	NN
serpiente	NN
serrín	NN
serrucho	NN
servicio	NN
servicios	NNS
servidor	NN
servidora	NN
servilleta	NN
servir	VB
seto	NN
seudónimo	NN
sexo	NN
shorts	NNS
si	CC
sí	RB
sicario	NN
sicoanálisis	NN
sicoanalista	NN
sidra	NN
siembra	NN
siempre	RB
sierra	NN
siesta	NN
sigla	NN
siglo	NN
significado	NN
significar	VB
sil	NN
sílaba	NN
silbar	VB
silbato	NN
silbido	NN
silenciador	NN
sílice	NN
silla	NN
sillón	NN
siluro	NN
simbolizar	VB
símbolo	NN
simplicidad	NN
sin	IN
sinagoga	NN
sinceramente	RB
sindicato	NN
sinfín	NN
sinnúmero	NN
sino	CC
sinsonte	NN
síntoma	NN
siquiera	RB
sitio	NN
situación	NN
situar	VB
skeleton	NN
snowboard	NN
sobaco	NN
soberana	NN
soberano	NN
sobre	IN
sobrecama	NN
sobreestimar	VB
sobremesa	NN
sobresalir	VB
sobrevivir	VB
sobrina	NN
sobrino	NN
socia	NN
socialista	NN
sociedad	NN
socio	NN
sodio	NN
sofá	NN
sofisticación	NN
softball	NN
software	NN
soga	NN
Sol	NNP
solamente	RB
solapa	NN
soldado	NN
soler	VB
solicitar	VB
solicitud	NN
soliloquio	NN
solista	NN
sollozar	VB
solución	NN
solucionar	VB
sombra	NN
sombrero	NN
sonar	VB
soñar	VB
sonido	NN
sonreír	VB
sonrisa	NN
sopa	NN
soplar	NN
soportar	VB
soprano	NN
sorbete	NN
sorda	NN
sordo	NN
sorprender	VB
sospechosa	NN
sospechoso	NN
sostén	NN
sostener	VB
sótano	NN
sprintar	VB
step	NN
su	PRP$
subconsciente	NN
subestimar	VB
subir	VB
súbitamente	RB
submarino	NN
substituir	VB
subyugar	VB
sucedáneo	NN
sucesión	NN
sucesor	NN
sucesora	NN
sucitar	VB
sucursal	NN
sudadera	NN
Sudamérica	NNP
sudeste	NN
sudoeste	NN
sudor	NN
Suecia	NNP
suegra	NN
suegro	NN
sueldo	NN
suelo	NN
sueño	NN
suerte	NN
suéter	NN
sufrimiento	NN
sufrir	VB
sugerencia	NN
sugerir	VB
suicidarse	VB
sujetapapeles	NN
suma	NN
sumar	VB
sumergir	VB
superar	VB
superficialmente	RB
Superman	NNP
supermercado	NN
supervisor	NN
supervisora	NN
suplicar	VB
suponer	VB
suposición	NN
suprema	VB
supremo	VB
suprimir	VB
supuestamente	RB
sur	NN
Suramérica	NNP
surco	NN
sureste	NN
surgir	VB
suroeste	NN
surrealismo	NN
sus	PRP$
suscribirse	VB
suspender	VB
suspensión	NN
sustancia	NN
sustantivo	NN
sustituta	NN
sustituto	NN
susto	NN
sustracción	NN
susurrar	VB
susurro	NN
suya	PRP$
suyas	PRP$
suyo	PRP$
suyos	PRP$
tabaco	NN
tabladura	NN
tablilla	NN
tabulador	NN
tachuela	NN
tacle	NN
taclear	VB
taco	NN
tacón	NN
taekwondo	NN
taíno	NN
tala	NN
taladradora	NN
taladro	NN
talar	VB
talega	NN
talento	NN
talio	NN
talla	NN
taller	NN
tallo	NN
tamaño	NN
también	RB
tambor	NN
tamborilera	NN
tamborilero	NN
tamborista	NN
tango	NN
tanque	NN
tantalio	NN
tanto	RB
tapa	NN
tapas	NN
tapete	NN
tapicería	NN
tapón	NN
taquilla	NN
taquillera	NN
taquillero	NN
tarántula	NN
tardar	VB
tarde	NN
tarea	NN
tarjeta	NN
tarjetero	NN
tarta	NN
tasa	NN
tatuaje	NN
tatuar	VB
tauro	NN
taxi	NN
taza	NN
tazón	NN
te	PRP
té	NN
teatro	NN
techo	NN
tecla	NN
teclado	NN
teclear	VB
tecnecio	NN
técnica	NN
técnico	NN
tecnología	NN
teja	NN
tejeduría	NN
tejer	VB
tejido	NN
tejón	NN
tela	NN
telar	NN
telaraña	NN
tele	NN
teleférico	NN
telefonear	VB
telegrafiar	VB
telégrafo	NN
telegrama	NN
telenovela	NN
telepatía	NN
televidente	NN
televisar	VB
televisión	NN
televisor	NN
teluro	NN
tema	NN
temática	NN
temblar	VB
temblor	NN
temer	VB
temor	NN
temperamento	NN
tempestad	NN
templo	NN
temporalmente	RB
tendencia	NN
tender	VB
tendinitis	NN
tendón	NN
tenedor	NN
tener	VB
teñir	VB
tenis	NN
tenor	NN
tensar	VB
tensión	NN
teología	NN
teoría	NN
terapia	NN
terbio	NN
terciopelo	NN
terminar	VB
termita	NN
ternera	NN
ternura	NN
terremoto	NN
terrorismo	NN
terrorista	NN
tesis	NN
tesoro	NN
testiga	NN
testigo	NN
tetera	NN
textear	VB
textil	NN
texto	NN
textura	NN
tía	NN
tiburón	NN
tiempo	NN
tienda	NN
tierra	NN
tigre	NN
tijeras	NNS
timbre	NN
timón	NN
tiniebla	NN
tinta	NN
tío	NN
tíos	NNS
tipo	NN
tira	NN
tirana	NN
tirano	NN
tirar	VB
tirita	NN
tiro	NN
tiroteo	NN
titanio	NN
título	NN
tiza	NN
toalla	NN
tobillera	NN
tobillo	NN
tobogán	NN
tocadiscos	NN
tocar	VB
tocino	NN
tocón	NN
toda	RB
todavía	RB
todo	RB
tolerancia	NN
tomacorriente	NN
tomar	VB
tomate	NN
tomillo	NN
tonelada	NN
tono	NN
tontería	NN
tonterías	NN
topacio	NN
tope	NN
topo	NN
torcer	VB
torio	NN
tormenta	NN
tornado	NN
torneo	NN
tornillo	NN
torre	NN
torro	NN
torta	NN
tortilespañola	NN
tortilla	NN
tortuga	NN
tortura	NN
torturar	VB
tos	NN
toser	VB
tostador	NN
tostar	VB
total	NN
touchdown	NN
trabajar	VB
trabajo	NN
tractor	NN
tradición	NN
traducción	NN
traducir	VB
traductor	NN
traductora	NN
traer	VB
tráfico	NN
tragar	VB
tragedia	NN
trago	NN
traición	NN
traicionar	VB
traje	NN
trampa	NN
trampilla	NN
trampolín	NN
transacción	NN
transbordador	NN
transformar	VB
transfusión	NN
transmisión	NN
transparencia	NN
transplantar	VB
transplante	NN
trapeador	NN
trapecio	NN
trapo	NN
trasero	NN
trasladar	VB
tratado	NN
tratamiento	NN
tratar	VB
trato	NN
travesura	NN
trazar	VB
tregua	NN
tren	NN
trenza	NN
trenzar	VB
trepar	VB
triángulo	NN
tribu	NN
triciclo	NN
trigonometría	NN
trinar	VB
trinchar	VB
trinchera	NN
trinchete	NN
trineo	NN
trino	NN
triplicar	VB
triplicarse	VB
tripulación	NN
tripulante	NN
trofeo	NN
trombón	NN
trompeta	NN
trompetista	NN
tronar	VB
tronco	NN
tropezar	VB
trotar	VB
trucha	NN
trueno	NN
truenos	NNS
tu	PRP
tuba	NN
tubo	NN
tulio	NN
tulipán	NN
tumba	NN
tumor	NN
tundra	NN
tungsteno	NN
tupé	NN
turista	NN
turnar	VB
turquesa	NN
Turquía	NNP
tus	PRP$
tutor	NN
tutora	NN
tuya	NN
tuyo	NN
ubicación	NN
últimamente	RB
ultrasonido	NN
un	DT
una	DT
uña	NN
unas	DT
unicornio	NN
unidad	NN
uniforme	NN
unión	NN
unir	VB
universidad	NN
universo	NN
unos	DT
uranio	NN
Urano	NNP
urgir	VB
urna	NN
Uruguay	NNP
usar	VB
usted	PRP
ustedes	PRP
usuario	NN
utilizar	VB
uva	NN
vaca	NN
vacación	NN
vacaciones	NNS
vacada	NN
vacante	NN
vaciar	VB
vacilar	VB
vacío	NN
vacuna	NN
vacunación	NN
vadear	VB
vagar	VB
vagina	NN
vainilla	NN
vajilla	NN
valer	VB
valla	NN
valle	NN
valor	NN
vals	NN
válvula	NN
vampiro	NN
vanadio	NN
vándala	NN
vándalo	NN
vaporizador	NN
vaquera	NN
vaquero	NN
vaqueros	NNS
vara	NN
varicela	NN
varilla	NN
vasija	NN
vaso	NN
vecina	NN
vecindad	NN
vecindario	NN
vecino	NN
vega	NN
vegetariana	NN
vegetariano	NN
vejiga	NN
vela	NN
velcro	NN
vellón	NN
velo	NN
velocidad	NN
vena	NN
venada	NN
venado	NN
vencer	VB
venda	NN
vendedor	NN
vendedora	NN
vender	VB
veneno	NN
venerar	VB
Venezuela	NNP
venir	VB
ventaja	NN
ventana	NN
ventanilla	NN
ventilador	NN
Venus	NNP
ver	VB
verano	NN
verdad	NN
verdaderamente	RB
verdugón	NN
verdulería	NN
verdura	NN
vergüenza	NN
verificación	NN
vernáculo	NN
verruga	NN
verse	VB
versículo	NN
vértebra	NN
vertedero	NN
verter	VB
vesícubiliar	NN
vestíbulo	NN
vestido	NN
vestigio	NN
vestimenta	NN
vestirse	VB
vetar	VB
veterana	NN
veterano	NN
veterinaria	NN
veterinario	NN
veto	NN
vez	NN
vía	NN
viajar	VB
viaje	NN
viajera	NN
viajero	NN
víbora	NN
vicepresidenta	NN
vicepresidente	NN
vicio	NN
víctima	NN
vida	NN
video	NN
videocasetera	NN
videojuego	NN
vidriería	NN
vidrio	NN
viento	NN
viernes	NN
vigilancia	NN
vigilante	NN
vigilar	VB
vigorizar	VB
vikinga	NN
vikingo	NN
villancico	NN
vinagre	NN
vincular	VB
vino	NN
viola	NN
violación	NN
violar	VB
violencia	NN
violeta	NN
violín	NN
violinista	NN
virgen	NN
virgo	NN
virus	NN
virutas	NN
visera	NN
visitante	NN
visitar	VB
víspera	NN
vista	NN
vistazo	NN
visualizar	VB
vitalidad	NN
vitamina	NN
vitrina	NN
viuda	NN
viudo	NN
vivir	VB
volante	NN
volar	VB
vóleibol	NN
vólibol	NN
voltio	NN
volumen	NN
voluntad	NN
volver	VB
volverse	VB
vomitar	VB
vos	PRP
votar	VB
voto	NN
vuelo	NN
vuelta	NN
vulcanizar	VB
wafle	NN
wolframio	NN
Wolverine	NNP
xenófoba	NN
xenofobia	NN
xenófobo	NN
xenón	NN
xilófono	NN
y	CC
ya	RB
yarda	NN
yate	NN
yegua	NN
yerno	NN
yeso	NN
Yeti	NNP
yo	PRP
yoga	NN
yogur	NN
yugo	NN
yuxtaponer	VB
zafiro	NN
zanahoria	NN
zapatería	NN
zapatilla	NN
zapato	NN
zapatos	NNS
zapote	NN
zarandear	VB
zigzaguear	VB
Zimbabue	NNP
Zimbabwe	NNP
zinc	NN
zirconio	NN
zodiaco	NN
zombi	NN
zona	NN
zoológico	NN
zopilote	NN
zorra	NN
zorrillo	NN
zorro	NN
zueco	NN
zumbar	VB
zumo	NN
YouTube	NNP
Apple 	NNP
Peugeot	NNP
Nintendo	NNP
Skype	NNP
Microsoft	NNP
Sony	NNP
Twitter	NNP
Toyota	NNP
Nissan	NNP
's	POS
Tepco	NNP
iWiks	NNP
Santalba	NNP
Bayer	NNP
Wal-mart	NNP
Gensler	NNP
ABC	NNP
google	NNP
super	JJ
agil	JJ
sucio	JJ
